League,Score
Premier League,61.025119126510795
LaLiga,56.15575447570333
Serie A,60.40382819794585
Bundesliga,60.30366482401773
Ligue 1,58.07302262704164
Liga Bwin,50.0
Eredivisie,50.0
Bundesliga,40.057471264367834
Premiership,40.057471264367834
Premier Liga,43.734130372900715
Premier Liga,43.734130372900715
Super liga Srbije,42.14850588590407
Jupiler Pro League,50.0
Super League,45.29147855530481
Protathlima Cyta,40.057471264367834
1.HNL,39.596171802054165
Fortuna Liga,43.734130372900715
Super Lig,50.0
Super League 1,40.057471264367834
Superligaen,40.057471264367834
Eliteserien,43.44018053492688
Ligat ha'Al,40.057471264367834
Allsvenskan,42.14850588590407
efbet Liga,40.057471264367834
Premyer Liqa,35.30248317573896
Liga 1,42.14850588590407
Ekstraklasa,50.0
NB I.,44.24836352886529
Fortuna Liga,40.057471264367834
Premier Liga,40.057471264367834
Prva Liga,38.10204081632655
Vysheyshaya Liga,42.14850588590407
Divizia Nationala,43.47289117836451
A Lyga,38.10204081632655
Premijer Liga,40.057471264367834
Veikkausliiga,40.057471264367834
BGL Ligue,47.32523094688215
Virsliga,40.33120598591547
BKT Superliga e Kosovës,40.057471264367834
Premier Division,38.10204081632655
Premiership,40.057471264367834
Kategoria Superiore,38.10204081632655
Bardzragujn khumb,38.10204081632655
Betri-deildin,50.0
Premium Liiga,46.40917191914804
Premier League,40.057471264367834
Crystalbet Erovnuli Liga,38.10204081632655
Prva liga,40.057471264367834
Cymru Premier,40.057471264367834
Gibraltar National League,50.0
Pepsi Max deild,40.057471264367834
1. CFL,38.10204081632655
Primera Divisió,40.057471264367834
Camp. Sammarinese,40.057471264367834
